confFrom,confTo,pvalue
ml,iccv,1.71987139925627e-05
iccv,naacl,1.68251292449629e-132
iccv,uai,0.000986364081109544
uai,iccv,0.00939811714220287
icdar,icpr,0.0011536631412719
icpr,icdar,0.000790052308191436
ijcnn,icdar,0
icdar,ilp,0
icdar,nips,3.24643572039671e-05
nips,icdar,0.000107582426090175
icml,iconip,0.000200704591816771
iconip,icml,0.000824183506211812
icml,icpr,0.000537179553827976
icpr,icml,1.75055847599075e-06
icml,ijcnn,6.79747616986398e-09
icml,naacl,0.00030017159562309
nips,icml,2.91482061555429e-05
pris,icml,0.000297092656475939
icpr,iconip,7.84425811788208e-05
ictai,iconip,0.000255574553676496
ijcai,iconip,0.00527367548478159
iconip,naacl,1.70367753773728e-223
naacl,iconip,2.05732874951897e-08
iconip,nips,0.00288877894246999
iconip,pricai,0.00182567573922695
ijcai,icpr,2.07552152845977e-05
ijcnn,icpr,0.00066866911934085
icpr,ml,0.00166968457230975
ml,icpr,0.00144427590159461
icpr,naacl,1.82300285551855e-94
icpr,nips,0.00529892118902642
uai,icpr,7.60965917328563e-06
icra,ijcnn,3.78656930829392e-15
ijcnn,icra,3.01490425081669e-19
icra,ilp,1.53983606975896e-09
icra,naacl,2.31759949366257e-32
naacl,icra,1.72494653067603e-97
icra,pricai,2.31424103707397e-06
pricai,icra,0.00417572728574081
ictai,ilp,0.00317297156873661
ictai,kr,0.000306371659278132
kr,ictai,0.00363922045647881
ictai,naacl,0.000131671833525833
pricai,ictai,1.2767878961776e-07
ijcnn,ijcai,0
ilp,ijcai,0.00392968929991535
kr,ijcai,0.00203355386251531
ijcai,uai,0.00590852223397087
ml,ijcnn,8.11132093421363e-07
ijcnn,naacl,6.92019607151524e-188
naacl,ilp,4.94634078598178e-32
ilp,pricai,0.000123523625565883
uai,ilp,8.52097476241056e-05
ml,kr,0.0021995844837804
nips,kr,7.86943860535975e-153
naacl,ml,0.00280542007640806
ml,uai,0.00886342787952374
uai,ml,0.0081694643433116
naacl,nips,5.14771887110196e-39
nips,naacl,0.00191068433838144
nips,pricai,0.00877408621895762
nips,pris,9.28735588082253e-80
nips,uai,7.74586545972301e-05
uai,nips,0.00846308302627987
