confFrom,confTo,pvalue
nips,icml,0.000122203003678312
pricai,icml,0.00823624835130425
icml,pris,0.00346975639586047
iconip,icpr,0.006865454442495
ictai,iconip,3.88413757175695e-06
ijcai,iconip,0.0038791064367007
iconip,ml,0.00366323190869944
iconip,naacl,6.69480682219943e-225
naacl,iconip,2.84191146110466e-09
iconip,pricai,0.00270415270410541
ijcai,icpr,1.29073674954438e-05
icpr,ml,0.000272851138186265
ml,icpr,0.000254797157211596
icpr,naacl,2.48450227975662e-93
icpr,uai,0.00014531537316761
uai,icpr,6.9333192101878e-08
icra,ijcai,0.00616232398642917
icra,ijcnn,4.21678257154279e-14
ijcnn,icra,5.61389952278884e-18
icra,ilp,6.29871813484421e-10
icra,naacl,5.99786512130412e-34
naacl,icra,3.20018358222654e-97
icra,pricai,5.53100417633661e-07
pricai,icra,0.00248350194199962
ictai,ilp,0.00731775384551797
ictai,kr,0.000195004518229929
kr,ictai,0.00492504831762835
ictai,naacl,0.00034794312520497
pricai,ictai,2.54786314730836e-08
ijcnn,ijcai,0
ilp,ijcai,0.00341630783229185
kr,ijcai,0.00200743272507149
ijcai,uai,0.00564550240151551
ml,ijcnn,8.4127777235363e-07
ijcnn,naacl,2.29940106021693e-188
naacl,ilp,3.76733302170027e-10
ilp,pricai,0.0052235367679607
uai,ilp,0.00149550307319559
nips,kr,3.8745479764957e-152
pricai,ksem,8.2235418804807e-48
naacl,ml,0.00286964334657062
ml,uai,0.00794310677256685
uai,ml,0.0072905121087967
naacl,nips,2.20469324424578e-43
nips,naacl,5.41629672706782e-05
nips,pricai,0.00542439289046768
nips,pris,2.56829533195707e-82
nips,uai,2.70241475044071e-05
uai,nips,0.00643398881317326
