confA,confB,infAB,infBA
coling,ictai,0.33907967107889,0.0473368390248973
coling,ijcai,0.000906405146943334,0.00289160095392876
coling,ilp,0.787341417290624,0.029886053658065
coling,kr,0.273380804175068,2.7924262493324e-11
coling,ksem,0.452249359022772,0.709649444156965
coling,ml,5.97015467934804e-05,0.000435365792255788
coling,naacl,0.0591787881159212,0.192380727414384
coling,nips,0.000606643337631728,9.37228576119928e-05
coling,pricai,1.05983391303219e-07,0.00140579045255785
coling,uai,0.22185132860217,0.455133152263662
colt,connection,0.21161560317456,0.0124242207325024
colt,cvpr,1.00341258605174e-181,0.000444047595898246
colt,eccv,5.56269620996133e-06,0.0966159949814416
colt,emnlp,0.425764676329675,0.24721793356969
colt,icann,0.111973903472231,0.781993382989712
colt,iccv,5.70064850224398e-05,3.21451116059659e-60
colt,icml,0.00894531861477916,0.000568602125025513
colt,iconip,0.713530614889492,6.8474214528887e-46
colt,icpr,7.14296890458977e-13,0.000766480971022862
colt,ictai,1.97765631626246e-72,0.0158903216144116
colt,ijcai,2.0547452043693e-248,1.47811999677505e-20
colt,ilp,0.123506675554451,0.226555382179161
colt,ml,0.00124265391772875,0.0692075947162284
colt,naacl,0.333516118633691,0.408197149772486
colt,nips,0.064087730097084,0.0320335358851371
colt,uai,0.0326091757981431,0.000667582689948559
connection,cvpr,0.000514728753046948,2.93963333188783e-215
connection,ecai,0.000426911881176768,9.54026462633588e-307
connection,gecco,1.69375982855331e-71,0.513132218983857
connection,icann,0.0907440327494753,0.0306807941536177
connection,iccv,0.0166022416453733,1.1266149996441e-168
connection,icml,0.376703991298136,0.246097243868333
connection,iconip,0.241833078637387,0.013221990863276
connection,icra,0.10795047940303,4.67599557363919e-05
connection,ictai,1.44503396437157e-269,0.833328637036399
connection,ijcai,0.562636512246641,0.458375109498326
connection,ijcnn,2.99561534994527e-05,9.38516579892272e-78
connection,ml,0.12724982149648,0.0480890711718568
connection,naacl,0.791637595092366,1.61149686357097e-240
connection,nips,0.0166483833855087,0.519685658146201
cvpr,ecai,0.00479249964267021,0.422847666527013
cvpr,eccv,0.397144340331451,1.69081448279409e-05
cvpr,emnlp,0.0126462485539692,3.75871906791391e-29
cvpr,gecco,0.549405993979167,2.89225455168948e-13
cvpr,icann,0.111251097792234,0.00254281396671017
cvpr,icb,2.89519183642195e-23,2.46157077237652e-05
cvpr,iccv,0.0134687813871723,0.000630427962082414
cvpr,icdar,0.529260422791893,0.227740931978611
cvpr,icml,6.79150565963959e-10,3.53886700851153e-56
cvpr,iconip,4.57650702027796e-05,5.37959673445384e-46
cvpr,icpr,0.0516317015617508,3.56730706907562e-05
cvpr,icra,0.25411575032952,0.633042811097263
cvpr,ictai,0.0164242112366823,0.782579262014948
cvpr,ijcai,0.291630870343712,0.607906304808143
cvpr,ijcnn,0.000538372063578682,0.704082380641017
cvpr,ilp,0.743805785568232,0.726970033199512
cvpr,ml,0.0012883133685336,0.00994072640976937
cvpr,naacl,1.51947877216047e-89,0.000603384610724942
cvpr,nips,0.0120025233911712,0.0865249958466472
cvpr,pricai,9.40981612296218e-08,0.192684113563205
cvpr,pris,2.29025270533307e-82,0.786654316597192
cvpr,uai,0.774495224432756,0.00153087059322332
ecai,eccv,7.11625983081773e-07,0.00952888787744131
ecai,emnlp,0.421937148063267,0.766734115708241
ecai,gecco,0.640450243209371,0.00182009452009559
ecai,icann,0.939620228813545,0.896462451515804
ecai,icaps,0.409083833821041,0.0776361349162615
ecai,iccbr,0.1288886712927,0.467323748743573
ecai,iccv,0.000290772761667877,0.055590950275681
